id;name;rating;bedroom;bed;bath;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
1645379;Rental unit in Bangkok ;4.83 ;1;1;1;8191888;Nan;;Vadhana;13.73944;100.55863;Private room;1325;30;7;15-03-2016;0.06;7;365;0;
736372;Rental unit in Bangkok ;0;2;1;3;3843977;Marc;;Vadhana;13.74283;100.58651;Entire home/apt;1974;180;0;;;1;0;0;
1645397;Rental unit in Bangkok,10110 ;4.45 ;1;1;1;8191888;Nan;;Vadhana;13.73972;100.55779;Private room;1325;30;20;23-06-2016;0.16;7;365;0;
1647608;Rental unit in Bangkok ;4.07 ;1;1;1;8663142;ISanook;;Bang Rak;13.73288;100.52328;Private room;1950;30;16;24-02-2023;0.13;53;353;1;
1026451;Condo in Bangkok ;4.81 ;1;2;1;3346331;Bee;;Sathon;13.71192;100.51535;Entire home/apt;901;2;508;18-12-2023;3.93;7;163;37;
1028469;Rental unit in Sathorn ;0;1;1;1;2148220;Marvin;;Sathon;13.71602;100.52663;Private room;2464;1;0;;;3;23;0;
1028486;Rental unit in Sathorn ;4.75 ;1;1;1;2148220;Marvin;;Sathon;13.71798;100.52841;Private room;1472;1;4;12-11-2014;0.03;3;0;0;
742693;Rental unit in Bangkok ;0;1;1;1;3888806;Nulek;;Khlong Toei;13.72062;100.58019;Entire home/apt;1732;2;0;;;1;361;0;
1035351;Rental unit in Bangkok ;0;1;2;1;4115838;Primrose;;Thawi Watthana;13.79318;100.33369;Private room;3500;1;0;;;6;365;0;
1035589;Rental unit in Bangkok ;0;1;1;1;4115838;Primrose;;Thawi Watthana;13.79274;100.33377;Private room;2000;2;2;11-10-2023;0.14;6;363;1;
1035640;Rental unit in Bangkok ;0;1;1;1;4115838;Primrose;;Thawi Watthana;13.79315;100.33356;Private room;2140;2;1;08-07-2023;0.17;6;365;1;
1052180;Condo in Bangkok ;4.72 ;1;1;1;5793490;Nicky;;Bang Kho laen;13.69947;100.52726;Entire home/apt;840;1;34;13-08-2023;0.28;6;45;5;
1057173;Condo in Bangkok ;4.61 ;1;1;1;5822937;Piya;;Bang Na;13.67991;100.61055;Entire home/apt;999;14;173;06-12-2023;1.41;1;307;6;
